Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-05-05,1091954,15640,979041.0,97273.0,2714.7838114400797,1.4322947669956794
2021-05-06,1098187,15673,986134.0,96380.0,2730.280112105405,1.4271704181528282
2021-05-07,1103950,15702,992423.0,95825.0,2744.6079126403447,1.422347026586349
2021-05-08,1108558,15741,998626.0,94191.0,2756.0641862591197,1.4199527674690904
2021-05-09,1112725,15771,1005369.0,91585.0,2766.424058691723,1.4173313262486238
2021-05-10,1117627,15800,1011606.0,90221.0,2778.6112664346124,1.4137095828930404
2021-05-11,1122914,15834,1018167.0,88913.0,2791.755649816224,1.4100812706939267
2021-05-12,1127580,15855,1023584.0,88141.0,2803.356121323429,1.4061086574788486
2021-05-13,1132092,15883,1028627.0,87582.0,2814.5737225751463,1.4029778498567254
2021-05-14,1134859,15910,1034396.0,84553.0,2821.45295632149,1.40193627578404
2021-05-15,1136917,15930,1039616.0,81371.0,2826.569495190292,1.4011576922501818
2021-05-16,1139373,15954,1045240.0,78179.0,2832.6755299141882,1.4002438183105972
2021-05-17,1142925,15995,1050687.0,76243.0,2841.5064074953266,1.3994794059102742
2021-05-18,1146948,16029,1056885.0,74034.0,2851.508271377343,1.3975350233837978
2021-05-19,1151557,16069,1061975.0,73513.0,2862.967031166608,1.3954150771520646
2021-05-20,1156137,16102,1067387.0,72648.0,2874.3536920116576,1.3927415176575095
2021-05-21,1160494,16137,1072026.0,72331.0,2885.1859368373966,1.3905285163042636
2021-05-22,1164149,16158,1076804.0,71187.0,2894.2728899790254,1.3879666606250574
2021-05-23,1167940,16190,1081843.0,69907.0,2903.697962307319,1.3862013459595528
2021-05-24,1172042,16214,1086612.0,69216.0,2913.8962336580603,1.3833975232969469
2021-05-25,1176980,16241,1090891.0,69848.0,2926.172943538596,1.3798875087087292
2021-05-26,1181698,16267,1094140.0,71291.0,2937.9026959112907,1.3765784489776576
2021-05-27,1186309,16289,1098199.0,71821.0,2949.366428041537,1.3730823925301079
2021-05-28,1190351,16311,1101676.0,72364.0,2959.4155291628667,1.3702680973931218
