Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2021-01-19,0.15700867534685414,0.3208274183735549,0.2102912421221822,0.09980927514355359,0.15700867534685414,0.8410629213276954,2021-01-19
2021-01-20,0.1580920045656663,0.32204421009937123,0.21314286653232606,0.08788642181810763,0.1580920045656662,0.8392652100515932,2021-01-20
2021-01-21,0.15926682137266235,0.32386939768809553,0.21583913791017306,0.07763623568288677,0.15926682137266257,0.8377748216746954,2021-01-21
2021-01-22,0.16026156737116948,0.32528898803488104,0.21817988984872494,0.06856915560904464,0.1602615673711697,0.8364030457033502,2021-01-22
2021-01-23,0.16139136647604335,0.3261001825187586,0.22048927242498617,0.060695380786765535,0.16139136647604324,0.8341308623744705,2021-01-23
2021-01-24,0.16268816673395115,0.3271141756236058,0.2230346721080062,0.05237284159637723,0.16268816673395137,0.8316040878280084,2021-01-24
2021-01-25,0.16386879227670492,0.3285337659703913,0.22540231207137873,0.04442767244280804,0.16386879227670514,0.8297536799983867,2021-01-25
2021-01-26,0.1650363481640038,0.3305617521800852,0.22782970320101936,0.03595214539965527,0.16503634816400392,0.8284855448570632,2021-01-26
2021-01-27,0.16631281784675978,0.3321841411478399,0.23018240537282486,0.028771915509908513,0.16631281784675989,0.826572857285417,2021-01-27
2021-01-28,0.16768222730163895,0.33340093287365624,0.2330698804827297,0.01861352208634634,0.16768222730163906,0.8240609535797643,2021-01-28
2021-01-29,0.169054541124397,0.33583451632528893,0.23498191780330813,0.015074403092394467,0.1690545411243971,0.8226301679254115,2021-01-29
2021-01-30,0.17017998367745246,0.33684850943013567,0.23694922495268456,0.009495446061582702,0.17017998367745268,0.8205888496614393,2021-01-30
2021-01-31,0.171216843010203,0.338065301155952,0.23884931204000936,0.0037431027976378706,0.17121684301020312,0.8189632013523664,2021-01-31
2021-02-01,0.1726457920065987,0.3400932873656459,0.24072400488167023,0.0008771303558497423,0.1726457920065989,0.8170395984666072,2021-02-01
2021-02-02,0.17429402077784784,0.342324072196309,0.24253147766127958,0.0,0.17429402077784795,0.8147326162414692,2021-02-02
2021-02-03,0.17620654702607252,0.3445548570269721,0.2444360460860745,0.0003161748957132837,0.17620654702607297,0.8117509439867501,2021-02-03
2021-02-04,0.17787655855641293,0.3469884404786048,0.24606426536687964,0.0008057360245596334,0.17787655855641293,0.8095849378082383,2021-02-04
2021-02-05,0.18010420871949318,0.349422023930237,0.24783887500504143,0.004212265546115618,0.1801042087194933,0.805994891944612,2021-02-05
2021-02-06,0.1825148340589412,0.35104441289799215,0.24936252974487738,0.010658153742592824,0.1825148340589412,0.8012447229915747,2021-02-06
2021-02-07,0.18416161064625092,0.35286960048671645,0.25089514715965355,0.011667873570838455,0.18416161064625103,0.7986405189708212,2021-02-07
2021-02-08,0.1866492017344885,0.3540863922125328,0.25216187188453687,0.020428977939151632,0.1866492017344885,0.793382260274162,2021-02-08
2021-02-09,0.18954485650970487,0.3557087811802879,0.2536212941206346,0.030719960835109694,0.1895448565097051,0.7874762561025017,2021-02-09
2021-02-10,0.19285874025947625,0.35692557290610427,0.2548193050043095,0.045753567166766956,0.19285874025947625,0.7802089264765288,2021-02-10
2021-02-11,0.19629896401197755,0.3577367673899814,0.2563041214860712,0.05973665690944138,0.19629896401197766,0.7723298907787193,2021-02-11
2021-02-12,0.19997298937872665,0.3603731494625837,0.2578098508760267,0.07512723489754913,0.19997298937872665,0.7655000871719846,2021-02-12
2021-02-13,0.2031532722060707,0.3617927398093692,0.25953964713948763,0.08558140483645599,0.20315327220607082,0.758893377738886,2021-02-13
2021-02-14,0.20638292928735524,0.36483471912390986,0.26115143484956893,0.09710648974471425,0.20638292928735547,0.7535951495067117,2021-02-14
2021-02-15,0.2104461399498706,0.3660515108497262,0.26282297372591834,0.1141697349230471,0.21044613994987071,0.7447643660764718,2021-02-15
2021-02-16,0.21528481683603973,0.3674711011965117,0.26524588351808887,0.13153895580690894,0.21528481683603973,0.7343225367773045,2021-02-16
2021-02-17,0.22047637441948942,0.3699046846481444,0.2670921945557725,0.15527247136577355,0.22047637441948953,0.7240026626443612,2021-02-17
2021-02-18,0.22613408304749516,0.3731494625836542,0.2696181751097554,0.17759849867920485,0.22613408304749538,0.7133790487547289,2021-02-18
2021-02-19,0.23197767121974733,0.3755830460352869,0.2723099651501323,0.20013870898650649,0.23197767121974744,0.701775783574583,2021-02-19
2021-02-20,0.2367306692534903,0.3782194281078888,0.27526466032208863,0.21321407080277827,0.2367306692534904,0.69298440509872,2021-02-20
2021-02-21,0.24135877946844253,0.3836949908740621,0.27825520619380584,0.2250247330361969,0.24135877946844253,0.6868981935424263,2021-02-21
2021-02-22,0.24697001821038655,0.38835935915635744,0.28159529638819136,0.2413944332819974,0.24697001821038667,0.6779825645782105,2021-02-22
2021-02-23,0.2530415992611288,0.3916041370918677,0.2854671719623627,0.2574377594419003,0.2530415992611289,0.6669861106792481,2021-02-23
2021-02-24,0.25929470330429927,0.39424051916446956,0.2886190459830037,0.27970259161422584,0.25929470330429927,0.6552327176085315,2021-02-24
2021-02-25,0.26521090067352293,0.3997160819306429,0.2920114184478738,0.2978163533815415,0.26521090067352293,0.6466411229282816,2021-02-25
2021-02-26,0.27150757023487626,0.4025552626242139,0.2956861151733605,0.3168072455047069,0.27150757023487637,0.6352255310702244,2021-02-26
2021-02-27,0.27665265793226423,0.40620563780166297,0.29989857239525985,0.32399767458463796,0.27665265793226457,0.6270593823113746,2021-02-27
2021-02-28,0.2813693513675216,0.4108700060839583,0.3042798266618666,0.3269758381184534,0.2813693513675217,0.6206869652302234,2021-02-28
2021-03-01,0.28659576136551757,0.4153315757452849,0.30981875977491735,0.3256397442043102,0.2865957613655177,0.6131397664136808,2021-03-01
2021-03-02,0.2934065040414279,0.4214155343743662,0.315072381069038,0.33729741858496437,0.2934065040414282,0.6036311697242245,2021-03-02
2021-03-03,0.30091865156008113,0.42648549989860074,0.3202453382886967,0.3544830540455088,0.30091865156008124,0.5920183866816018,2021-03-03
2021-03-04,0.3082420151666091,0.4313526668018657,0.32531821230485636,0.3710363397146267,0.308242015166609,0.5808014346770101,2021-03-04
2021-03-05,0.3156873622240487,0.43743662543094697,0.3299997161819602,0.3910573500464063,0.3156873622240488,0.5704262629338359,2021-03-05
2021-03-06,0.32159484648963577,0.43966741026161005,0.33580006064743373,0.3928320091384744,0.3215948464896361,0.560327002319168,2021-03-06
2021-03-07,0.32647273234216934,0.444534577164875,0.34104173170830077,0.3910573500464063,0.32647273234216967,0.55435985159429,2021-03-07
2021-03-08,0.33296109018352704,0.4494017440681404,0.34689734600257227,0.39640172570297916,0.33296109018352715,0.5453003478748033,2021-03-08
2021-03-09,0.3396556581442832,0.45386331372946653,0.3524123786491157,0.4055402001081114,0.3396556581442831,0.5356499863737105,2021-03-09
2021-03-10,0.34669294151474406,0.45933887649563987,0.35709537630537624,0.42271563637847154,0.34669294151474417,0.5262177920051108,2021-03-10
2021-03-11,0.35420073248157913,0.4646116406408436,0.361661859187414,0.4440013462931043,0.35420073248157924,0.5158711335956436,2021-03-11
2021-03-12,0.3609127266496083,0.46968160616507815,0.36673622698273045,0.4562403745142636,0.3609127266496086,0.5070025642880385,2021-03-12
2021-03-13,0.3667998803400433,0.4743459744473735,0.3728398086170145,0.4556794190541271,0.36679988034004385,0.49947164612314676,2021-03-13
2021-03-14,0.3724140234498662,0.48083553031839354,0.37872828605273334,0.4545779065142228,0.3724140234498663,0.4938437354904317,2021-03-14
2021-03-15,0.37953117693699545,0.4883390792942608,0.38597311496273756,0.4547206951768029,0.37953117693699556,0.48627048345000023,2021-03-15
2021-03-16,0.3871798297459549,0.4962482255120664,0.39279072303392526,0.46149295745917773,0.387179829745955,0.47812876165905704,2021-03-16
